"Klarna Invoice","Klarna Lasku"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Tuntematon osoite. Tarkista henkilötunnuksesi ja paina Hae Osoite-painiketta uudelleen, tai kokeile toista maksutapaa."
"You must choose a payment plan","Valitse maksusuunnitelma."
"Unexpected error, pclass does not exist, please reload page and try again","Virhe, tunnistamaton pclass. Päivitä sivu ja yritä uudelleen."
"Phonenumber must be properly entered","Puhelinnumeron tulee olla täytetty."
"Date of birth fields must be properly entered","Syntymäajan tulee olla täytetty."
"Personal ID must not be empty","Henkilötunnuksen tulee olla täytetty."
"You need to agree to the terms to be able to continue","Sinun täytyy hyväksyä ehdot jatkaaksesi."
"You need to enter your gender to be able to continue","Sinun täytyy valita sukupuolesi jatkaaksesi."
"Klarna was not able to cancel the reservation","Varausta ei pystytty poistamaan."
"Please enter a positive number in this field","Anna tähän kenttään positiivinen luku."
"No address found. Verify the personal id and try again","Osoitetta ei löydetty. Tarkista henkilötunnuksesi ja yritä uudelleen."
"Please note that both shipping and invoice address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa sekä laskutus- että toimitusosoitteena."
"Please note that shipping address will be updated to this address when you place your order","Huomioi, että tätä osoitetta käytetään tilauksessa toimitusosoitteena."

"Invoice","Lasku"
"Refund","Palautus"
"month","kuukausi"
"Reservation","Varaus"
"Reservation Pending","Varaus pending-tilassa"
"Reservation Denied","Varaus hylätty"
"Country","Maa"
"Description","Kuvaus"
"Months","Kuukaudet"
"Minimum amount","Vähimmäissumma"
"Address","Osoite"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Syntymäaika"
"Gender","Sukupuoli"
"Male","Mies"
"Female","Nainen"
"Monthly cost","Kuukausikustannus"
"Total cost","Kokonaissumma"
"Start fee","Aloitusmaksu"
"Personal ID/Registration number","Henkilötunnus/Y-tunnus"
"Fetch ","Hae"
"Identifying...","Tunnistetaan..."
"Phone number","Puhelinnumero"
"Discount (%s)","Alennus (%s)"

"Gift Wrapping for Order","Lahjapaketointi tilaukselle"
"Gift Wrapping for Items","Lahjapaketointi tuotteille"
"Printed Card","Tulostettu kortti"
"Gift Card","Lahjakortti"
"Customer Balance","Asiakkaan avoimet maksut"
"Reward Currency","Hyvityksen valuutta"

"YYMMDD-XXXX","PPKKVVXXXX"
"URL to terms and conditions","URL ehtoihin"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL kaupan omiin ehtoihin (käytössä vain Saksaan ja Itävaltaan myydessä)."
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testitila on käytössä, vain Klarnan testihenkilöillä tehdyt ostot hyväksytään."
"Year","Vuosi"
"Month","Kuukausi"
"Day","Päivä"
"07xxxxxxxx",""
